intent_code,text,amount,currency,beneficiary,account,method,time,reference,purpose
NEW_PAYMENT,"i'd like to make a payment to fatima khan for 1,200 euros","1,200",euros,fatima khan,,,,,
NEW_PAYMENT,can we push 500 bucks to green energy pvt ltd now,500,bucks,green energy pvt ltd,,,,,
NEW_PAYMENT,"carlos rivera — just over 8000 USD, send whenever you can",just over 8000,USD,carlos rivera,,,,,
NEW_PAYMENT,i need a NEFT out to fatima khan for about 50k INR this evening,about 50k,INR,fatima khan,,NEFT,this evening,,
NEW_PAYMENT,"process reference number REF3321 through SWIFT, 5k EUR to tom baker",5k,EUR,tom baker,,SWIFT,,reference number REF3321,
NEW_PAYMENT,put through a payment of 3.2k INR to priya sharma,3.2k,INR,priya sharma,,,,,
NEW_PAYMENT,set up an ACH from my current account to meridian software labs for 45k USD,45k,USD,meridian software labs,my current account,ACH,,,
NEW_PAYMENT,"anita desai is expecting 5k USD today, can you send it",5k,USD,anita desai,,,today,,
NEW_PAYMENT,"use the corporate account to pay evergreen foods 1,200 bucks","1,200",bucks,evergreen foods,the corporate account,,,,
NEW_PAYMENT,"pay out 1.5 million dollars to sara ahmed, tag it the march invoice",1.5 million,dollars,sara ahmed,,,,the march invoice,
NEW_PAYMENT,schedule online transfer to the cleaning vendor before the deadline for 300 bucks,300,bucks,the cleaning vendor,,online transfer,before the deadline,,
NEW_PAYMENT,send 2500 INR over to the freelancer,2500,INR,the freelancer,,,,,
NEW_PAYMENT,"i need a SWIFT out to our new hire for 62,000 USD at 3pm","62,000",USD,our new hire,,SWIFT,at 3pm,,
NEW_PAYMENT,"settle the legal fees - 150,000 pounds to the freelancer","150,000",pounds,the freelancer,,,,,legal fees
NEW_PAYMENT,schedule RTGS to omar farouk before the weekend for just over 8000 INR,just over 8000,INR,omar farouk,,RTGS,before the weekend,,
NEW_PAYMENT,just send tech solutions inc 100k rupees already,100k,rupees,tech solutions inc,,,,,
NEW_PAYMENT,cover grand hotel's refund with about 50k EUR,about 50k,EUR,grand hotel,,,,,refund
NEW_PAYMENT,schedule RTGS to the caterer before the weekend for 5k dollars,5k,dollars,the caterer,,RTGS,before the weekend,,
NEW_PAYMENT,"quick payment - 1,200 USD for riverside pharmacy","1,200",USD,riverside pharmacy,,,,,
NEW_PAYMENT,"initiate online transfer to meridian software labs for 320000 rupees, ref quote Q-8834",320000,rupees,meridian software labs,,online transfer,,quote Q-8834,
NEW_PAYMENT,go ahead and wire 2.5 lakh bucks to raj patel,2.5 lakh,bucks,raj patel,,,,,
NEW_PAYMENT,pay omar farouk 7.8k USD from my usd account for reimbursement,7.8k,USD,omar farouk,my usd account,,,,reimbursement
