query,intent
List payments scheduled for the future due next week.,PENDING_STATEMENTS
Look up payments in a pending state for this account.,PENDING_STATEMENTS
Can you pull up payments awaiting authorization in my dashboard.,PENDING_STATEMENTS
Bring up in-progress payments for invoices.,PENDING_STATEMENTS
What payments are scheduled for later this month that are still in draft?,PENDING_STATEMENTS
Give me payments due to be processed for this month.,PENDING_STATEMENTS
What's still in the payment queue for account 4521?,PENDING_STATEMENTS
Kindly list pending payment requests for this week.,PENDING_STATEMENTS
Retrieve payments that are scheduled but not sent for vendor ABC Corp.,PENDING_STATEMENTS
Bring up payments that haven't been executed yet tied to invoice #4521.,PENDING_STATEMENTS
Kindly show me payments that are on hold that need approval.,PENDING_STATEMENTS
Pull up queued payments awaiting my sign-off?,PENDING_STATEMENTS
Can I get payments set to be paid later for the merchant account.,PENDING_STATEMENTS
Pull up payments waiting on approval for today.,PENDING_STATEMENTS
I'd like to see pending payment statements for this month.,PENDING_STATEMENTS
Find scheduled payments?,PENDING_STATEMENTS
Please list unprocessed payments for our vendors?,PENDING_STATEMENTS
Can I view payments that haven't gone through yet for today.,PENDING_STATEMENTS
View scheduled payments scheduled for next week.,PENDING_STATEMENTS
I'm trying to check payments that are still processing that are still in draft.,PENDING_STATEMENTS
Kindly show me open pending payments on my account.,PENDING_STATEMENTS
Fetch undisbursed payments that need approval.,PENDING_STATEMENTS
I want a list of future-dated payments for vendor ABC Corp.,PENDING_STATEMENTS
Please show me payments not yet cleared on my account.,PENDING_STATEMENTS
Can you list payments still pending for the finance team.,PENDING_STATEMENTS
Kindly show me in-progress payments for vendor ABC Corp.,PENDING_STATEMENTS
Display payments not yet completed linked to project Alpha.,PENDING_STATEMENTS
Display payments in the queue on my account.,PENDING_STATEMENTS
What future-dated payments are on file for payroll?,PENDING_STATEMENTS
Would you list pending payment statements under $200.,PENDING_STATEMENTS
Could you display payments scheduled for the future for vendor ABC Corp?,PENDING_STATEMENTS
Find payments that haven't gone through yet that are overdue for approval.,PENDING_STATEMENTS
I need a list of undisbursed payments in the system.,PENDING_STATEMENTS
I'm trying to check payments in the queue scheduled for next month.,PENDING_STATEMENTS
Retrieve payments pending approval scheduled for next week?,PENDING_STATEMENTS
Get payments that haven't gone through yet in my dashboard.,PENDING_STATEMENTS
Can you check queued payments for client Johnson & Sons.,PENDING_STATEMENTS
I need to check which payments are still pending.,PENDING_STATEMENTS
What payments are still pending due today?,PENDING_STATEMENTS
I need to review payments that are still queued for our company.,PENDING_STATEMENTS
List every payment that's still queued.,PENDING_STATEMENTS
Would you list payments awaiting execution for my account.,PENDING_STATEMENTS
What payments are still pending?,PENDING_STATEMENTS
Pull up payments set to be paid later for today.,PENDING_STATEMENTS
Pull up payments still awaiting execution for my account.,PENDING_STATEMENTS
Can you pull up payments yet to be processed for the procurement department.,PENDING_STATEMENTS
Are there any pending payments right now for account number 778812?,PENDING_STATEMENTS
Which payments are scheduled but not yet sent for our company?,PENDING_STATEMENTS
I'm trying to check payments that are incomplete for account 4521.,PENDING_STATEMENTS
Can you pull up payments pending approval in the system.,PENDING_STATEMENTS
Kindly list incomplete payments for the current billing cycle.,PENDING_STATEMENTS
I want a list of payments set to be paid later that are awaiting manager sign-off.,PENDING_STATEMENTS
Show me all transactions marked pending.,PENDING_STATEMENTS
Pull up payments in transit in my queue.,PENDING_STATEMENTS
Look up pending payment requests scheduled for next month.,PENDING_STATEMENTS
Would you show me pending payments on hold.,PENDING_STATEMENTS
Could you show me payments queued for processing for my account?,PENDING_STATEMENTS
Can you list payments in the queue for today.,PENDING_STATEMENTS
Look up undisbursed payments in the approval queue.,PENDING_STATEMENTS
