query,intent
How do I download my mini statement from March to June 2025?,DOWNLOAD_STATEMENT
Send me my transaction history document for the past 30 days.,DOWNLOAD_STATEMENT
Fetch my TXT format SOA for my current account for last week.,DOWNLOAD_STATEMENT
I need to save my SOA for FY 2024-25 to my computer.,DOWNLOAD_STATEMENT
I want to print my transaction statement for a specific date range.,DOWNLOAD_STATEMENT
Could you generate my statement for account ending 4532.,DOWNLOAD_STATEMENT
I want to print my statement for last year.,DOWNLOAD_STATEMENT
I'd like an export of my statement of account for Q1 in PDF format.,DOWNLOAD_STATEMENT
Share the MT904 consolidated statement for the last quarter.,DOWNLOAD_STATEMENT
Pull my account summary statement for Q2 today itself.,DOWNLOAD_STATEMENT
Requesting statement in PDF for loan processing.,DOWNLOAD_STATEMENT
I need to save my bank statement year to date to my computer.,DOWNLOAD_STATEMENT
Show me how to export my account statement in Excel format.,DOWNLOAD_STATEMENT
Please share my e-statement for my joint account.,DOWNLOAD_STATEMENT
Get statement download for the current year XLSX.,DOWNLOAD_STATEMENT
I want my statement copy for the past 3 months for audit purposes.,DOWNLOAD_STATEMENT
I'd like an export of my mini statement for the period 01-04-2024 to 30-04-2024 in PDF format.,DOWNLOAD_STATEMENT
I'd like to download a PDF copy of my SOA for this month.,DOWNLOAD_STATEMENT
Need my statement of account for account 998877 in CAMT053 from March to June 2025.,DOWNLOAD_STATEMENT
I want my printable PDF e-statement for account 998877 for the past 30 days.,DOWNLOAD_STATEMENT
Generate the CAMT053 consolidated statement for the period 01-04-2024 to 30-04-2024.,DOWNLOAD_STATEMENT
Help me download the CAMT053 version of my account statement quarterly.,DOWNLOAD_STATEMENT
Provide my statement document for today.,DOWNLOAD_STATEMENT
Need my digital statement in camt.054 for the past 3 months.,DOWNLOAD_STATEMENT
Kindly share my digital statement for my NRE account for last quarter in MT940.,DOWNLOAD_STATEMENT
How do I export my transaction history as an Excel file?,DOWNLOAD_STATEMENT
Please generate my digital statement for my primary account for the last quarter so I can print it.,DOWNLOAD_STATEMENT
How can I get my transaction history document SWIFT MT940 format custom date range?,DOWNLOAD_STATEMENT
How can I get my statement of account PDF for this month?,DOWNLOAD_STATEMENT
Need my SOA for my salary account in camt.054 for the past 6 months.,DOWNLOAD_STATEMENT
Where can I download my account statement for my current account?,DOWNLOAD_STATEMENT
I need my statement of account in CAMT053 for a specific date range for visa application.,DOWNLOAD_STATEMENT
