intent_code,text,template,amount,currency,beneficiary,account,time,reference
PAY_FROM_TEMPLATE,i want to use my standing internet bill template,internet bill template,,,,,,
PAY_FROM_TEMPLATE,fire off the internet bill template,internet bill template,,,,,,
PAY_FROM_TEMPLATE,pay from annual maintenance template but change the amount to 62000 INR,annual maintenance template,62000,INR,,,,
PAY_FROM_TEMPLATE,can you run my utility bills template now,utility bills template,,,,,,
PAY_FROM_TEMPLATE,run the vendor payment template tagged invoice INV-2291,vendor payment template,,,,,,invoice INV-2291
PAY_FROM_TEMPLATE,execute my saved vendor payment template,vendor payment template,,,,,,
PAY_FROM_TEMPLATE,use rent payment template from my current account,rent payment template,,,,my current account,,
PAY_FROM_TEMPLATE,i want to use my standing tax payment template,tax payment template,,,,,,
PAY_FROM_TEMPLATE,execute my saved internet bill template,internet bill template,,,,,,
PAY_FROM_TEMPLATE,go ahead with the loan emi template,loan emi template,,,,,,
PAY_FROM_TEMPLATE,pay the landlord using the office rent template,office rent template,,,the landlord,,,
PAY_FROM_TEMPLATE,run the subscription template,subscription template,,,,,,
PAY_FROM_TEMPLATE,go ahead with the tax payment template,tax payment template,,,,,,
PAY_FROM_TEMPLATE,go ahead with the utility bills template,utility bills template,,,,,,
PAY_FROM_TEMPLATE,schedule the utility bills template at the end of the month,utility bills template,,,,,at the end of the month,
PAY_FROM_TEMPLATE,"process the subscription template, PO number 4471",subscription template,,,,,,PO number 4471
PAY_FROM_TEMPLATE,fire off the annual maintenance template,annual maintenance template,,,,,,
PAY_FROM_TEMPLATE,pay the landlord using the insurance premium template,insurance premium template,,,the landlord,,,
PAY_FROM_TEMPLATE,schedule the vendor payment template this friday,vendor payment template,,,,,this friday,
PAY_FROM_TEMPLATE,go ahead with the insurance premium template,insurance premium template,,,,,,
PAY_FROM_TEMPLATE,i want to use my standing annual maintenance template,annual maintenance template,,,,,,
PAY_FROM_TEMPLATE,run the utility bills template,utility bills template,,,,,,
PAY_FROM_TEMPLATE,can you run my vendor payment template now,vendor payment template,,,,,,
PAY_FROM_TEMPLATE,use the internet bill template for green energy pvt ltd but make it 25000 dollars,internet bill template,25000,dollars,green energy pvt ltd,,,
PAY_FROM_TEMPLATE,pay the landlord using the loan emi template,loan emi template,,,the landlord,,,
PAY_FROM_TEMPLATE,execute my saved insurance premium template,insurance premium template,,,,,,
PAY_FROM_TEMPLATE,can you run my loan emi template now,loan emi template,,,,,,
PAY_FROM_TEMPLATE,i want to use my standing vendor payment template,vendor payment template,,,,,,
PAY_FROM_TEMPLATE,execute my saved loan emi template,loan emi template,,,,,,
PAY_FROM_TEMPLATE,fire off the loan emi template,loan emi template,,,,,,
PAY_FROM_TEMPLATE,execute my saved office rent template,office rent template,,,,,,
PAY_FROM_TEMPLATE,can you run my monthly salary template now,monthly salary template,,,,,,
PAY_FROM_TEMPLATE,execute my saved monthly salary template,monthly salary template,,,,,,
PAY_FROM_TEMPLATE,run the office rent template,office rent template,,,,,,
PAY_FROM_TEMPLATE,i want to use my standing rent payment template,rent payment template,,,,,,
PAY_FROM_TEMPLATE,use my utility bills template to pay the insurance company,utility bills template,,,the insurance company,,,
PAY_FROM_TEMPLATE,can you run my rent payment template now,rent payment template,,,,,,
PAY_FROM_TEMPLATE,pay from monthly salary template but change the amount to 45000 INR,monthly salary template,45000,INR,,,,
PAY_FROM_TEMPLATE,use monthly salary template from my usd account this friday,monthly salary template,,,,my usd account,this friday,
PAY_FROM_TEMPLATE,trigger the loan emi template at the end of the month,loan emi template,,,,,at the end of the month,
PAY_FROM_TEMPLATE,pay the insurance company using the insurance premium template,insurance premium template,,,the insurance company,,,
PAY_FROM_TEMPLATE,"the internet bill template for our vendor is due, go ahead and run it",internet bill template,,,our vendor,,,
PAY_FROM_TEMPLATE,use my subscription template to pay xyz corp,subscription template,,,xyz corp,,,
PAY_FROM_TEMPLATE,trigger the loan emi template tomorrow,loan emi template,,,,,tomorrow,
PAY_FROM_TEMPLATE,pay from office rent template but change the amount to 100000 rupees,office rent template,100000,rupees,,,,
PAY_FROM_TEMPLATE,"the internet bill template for the telecom provider is due, go ahead and run it",internet bill template,,,the telecom provider,,,
PAY_FROM_TEMPLATE,"the tax payment template for our vendor is due, go ahead and run it",tax payment template,,,our vendor,,,
PAY_FROM_TEMPLATE,go ahead with the rent payment template,rent payment template,,,,,,
PAY_FROM_TEMPLATE,use my insurance premium template to pay the landlord,insurance premium template,,,the landlord,,,
PAY_FROM_TEMPLATE,execute my saved utility bills template,utility bills template,,,,,,
PAY_FROM_TEMPLATE,run the vendor payment template,vendor payment template,,,,,,
PAY_FROM_TEMPLATE,can you run my annual maintenance template now,annual maintenance template,,,,,,
PAY_FROM_TEMPLATE,pay green energy pvt ltd using the rent payment template,rent payment template,,,green energy pvt ltd,,,
PAY_FROM_TEMPLATE,"the tax payment template for the insurance company is due, go ahead and run it",tax payment template,,,the insurance company,,,
PAY_FROM_TEMPLATE,use tax payment template from my current account,tax payment template,,,,my current account,,
PAY_FROM_TEMPLATE,go ahead with the internet bill template,internet bill template,,,,,,
PAY_FROM_TEMPLATE,can you run my office rent template now,office rent template,,,,,,
PAY_FROM_TEMPLATE,schedule the annual maintenance template tomorrow,annual maintenance template,,,,,tomorrow,
PAY_FROM_TEMPLATE,"the internet bill template for oceanic exports is due, go ahead and run it",internet bill template,,,oceanic exports,,,
PAY_FROM_TEMPLATE,pay the telecom provider using the office rent template,office rent template,,,the telecom provider,,,
PAY_FROM_TEMPLATE,use my insurance premium template to pay xyz corp,insurance premium template,,,xyz corp,,,
PAY_FROM_TEMPLATE,fire off the utility bills template,utility bills template,,,,,,
PAY_FROM_TEMPLATE,use subscription template but bump the amount up to 45000 rupees,subscription template,45000,rupees,,,,
PAY_FROM_TEMPLATE,execute my saved rent payment template,rent payment template,,,,,,
PAY_FROM_TEMPLATE,go ahead with the monthly salary template,monthly salary template,,,,,,
PAY_FROM_TEMPLATE,"the office rent template for the landlord is due, go ahead and run it",office rent template,,,the landlord,,,
