intent_code,text,reference,beneficiary,amount,currency,account,time,reason,status
CANCEL_PAYMENT,cancel my last payment,,,,,,,,
CANCEL_PAYMENT,can you delete payment id PMT-4471,payment id PMT-4471,,,,,,,
CANCEL_PAYMENT,cancel my awaiting approval transaction payment id PMT-4471,payment id PMT-4471,,,,,,,awaiting approval
CANCEL_PAYMENT,cancel payment instruction id INS-556,instruction id INS-556,,,,,,,
CANCEL_PAYMENT,remove transaction id TXN88213 from the queue,transaction id TXN88213,,,,,,,
CANCEL_PAYMENT,i need to cancel a payment,,,,,,,,
CANCEL_PAYMENT,stop the processing transfer,,,,,,,,processing
CANCEL_PAYMENT,stop the pending transfer,,,,,,,,pending
CANCEL_PAYMENT,revoke invoice INV-2291,invoice INV-2291,,,,,,,
CANCEL_PAYMENT,undo the 10000 dollars payment to the landlord,,the landlord,10000,dollars,,,,
CANCEL_PAYMENT,undo the 500 USD payment to the insurance company,,the insurance company,500,USD,,,,
CANCEL_PAYMENT,cancel the 45000 pounds transfer,,,45000,pounds,,,,
CANCEL_PAYMENT,revoke instruction id INS-556,instruction id INS-556,,,,,,,
CANCEL_PAYMENT,"cancel the payment to michael chen, sent by mistake",,michael chen,,,,,sent by mistake,
CANCEL_PAYMENT,can you delete invoice INV-2291,invoice INV-2291,,,,,,,
CANCEL_PAYMENT,undo the 250000 euros payment to priya sharma,,priya sharma,250000,euros,,,,
CANCEL_PAYMENT,can you delete transaction id TXN88213,transaction id TXN88213,,,,,,,
CANCEL_PAYMENT,"cancel xyz corp's payment, order id ORD-7712",order id ORD-7712,xyz corp,,,,,,
CANCEL_PAYMENT,cancel the payment to oceanic exports,,oceanic exports,,,,,,
CANCEL_PAYMENT,cancel the payment to green energy pvt ltd scheduled for tomorrow,,green energy pvt ltd,,,,scheduled for tomorrow,,
CANCEL_PAYMENT,revoke transaction id TXN88213,transaction id TXN88213,,,,,,,
CANCEL_PAYMENT,cancel the awaiting approval payment from the account ending 4521,,,,,the account ending 4521,,,awaiting approval
CANCEL_PAYMENT,"stop the queued payment, sent by mistake",,,,,,,sent by mistake,queued
CANCEL_PAYMENT,cancel the payment to the landlord,,the landlord,,,,,,
CANCEL_PAYMENT,stop the scheduled transfer,,,,,,,,scheduled
CANCEL_PAYMENT,remove instruction id INS-556 from the queue,instruction id INS-556,,,,,,,
CANCEL_PAYMENT,"cancel the payment to the insurance company, wrong currency",,the insurance company,,,,,wrong currency,
CANCEL_PAYMENT,is the pending payment to delta enterprises still cancellable,,delta enterprises,,,,,,pending
CANCEL_PAYMENT,cancel the 500 INR transfer,,,500,INR,,,,
CANCEL_PAYMENT,cancel the 45000 euros transfer,,,45000,euros,,,,
CANCEL_PAYMENT,"stop the pending payment, duplicate payment",,,,,,,duplicate payment,pending
CANCEL_PAYMENT,cancel payment invoice INV-2291,invoice INV-2291,,,,,,,
CANCEL_PAYMENT,"cancel anita desai's payment, payment id PMT-4471",payment id PMT-4471,anita desai,,,,,,
CANCEL_PAYMENT,cancel the payment to michael chen from this morning,,michael chen,,,,from this morning,,
CANCEL_PAYMENT,stop the queued transfer,,,,,,,,queued
CANCEL_PAYMENT,cancel the 15000 rupees transfer,,,15000,rupees,,,,
